date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:22	95/95	---M-Z	200	added ('OK')	text/plain	etag:%22c1c3cc3ebd68b5236dafea0fce213cf8%22	https://thinkup.framer.website/robots.txt		(from )
22:09:23	435539/435539	---M-Z	200	added ('OK')	text/html	etag:%2278017111f4c863d794a93b7b957954dd%22	https://thinkup.framer.website/	C:/Users/Viju/Documents/finalthinkup/thinkup/thinkup.framer.website/index.html	(from )
22:09:24	4948/4948	---MC-	200	added ('OK')	image/png	etag:%2244a377f91ea0f3ae064a5adefd00d931%22	https://framerusercontent.com/images/8gmJBFaoN0FvA88qL0oFIUtelm8.png	C:/Users/Viju/Documents/finalthinkup/thinkup/framerusercontent.com/images/8gmJBFaoN0FvA88qL0oFIUtelm8.png	(from https://thinkup.framer.website/)
22:09:24	12008/12008	---MC-	200	added ('OK')	image/png	etag:%227190f500c7fffbc6c4a40eae7e1f831d%22	https://framerusercontent.com/images/nHeKIkLMEaoDPbZgv8c026RtlU.png	C:/Users/Viju/Documents/finalthinkup/thinkup/framerusercontent.com/images/nHeKIkLMEaoDPbZgv8c026RtlU.png	(from https://thinkup.framer.website/)
22:09:24	7334/7334	---MC-	200	added ('OK')	image/png	etag:%225494c13313b44df48ae062bec0ec1e0e%22	https://framerusercontent.com/images/G6l86aD5ShYsrxGhmZhx8HBmY.png?scale-down-to=512	C:/Users/Viju/Documents/finalthinkup/thinkup/framerusercontent.com/images/G6l86aD5ShYsrxGhmZhx8HBmY17f5.png	(from https://thinkup.framer.website/)
22:09:24	33243/33243	---MC-	200	added ('OK')	image/png	etag:%2266db5fd2b4ec6309923b50a48cebb408%22	https://framerusercontent.com/images/qlfCBpz1xt073qAovRs08xrtHho.png?lossless=1	C:/Users/Viju/Documents/finalthinkup/thinkup/framerusercontent.com/images/qlfCBpz1xt073qAovRs08xrtHho39be.png	(from https://thinkup.framer.website/)
22:09:25	75090/75090	---MC-	200	added ('OK')	image/png	etag:%220fa41b4040344204ddb61c96c1504374%22	https://framerusercontent.com/images/yf0RddXAtyNmyFMyMPfOG5QlY.png	C:/Users/Viju/Documents/finalthinkup/thinkup/framerusercontent.com/images/yf0RddXAtyNmyFMyMPfOG5QlY.png	(from https://thinkup.framer.website/)
22:09:25	29520/29520	---MC-	200	added ('OK')	image/png	etag:%220cd072713bccf8d1969d24ba2a817495%22	https://framerusercontent.com/images/13FKbouxW7ajNeYwW3Cnr7Qce3Y.png	C:/Users/Viju/Documents/finalthinkup/thinkup/framerusercontent.com/images/13FKbouxW7ajNeYwW3Cnr7Qce3Y.png	(from https://thinkup.framer.website/)
22:09:25	76418/76418	---MC-	200	added ('OK')	image/jpeg	etag:%221b1a73a5de1f70aebf614ea04f0dc4b4%22	https://framerusercontent.com/images/uddc89PcErE8GztyrIlXkUiTM.jpg?scale-down-to=1024	C:/Users/Viju/Documents/finalthinkup/thinkup/framerusercontent.com/images/uddc89PcErE8GztyrIlXkUiTMbf23.jpg	(from https://thinkup.framer.website/)
22:09:25	76895/76895	---MC-	200	added ('OK')	image/jpeg	etag:%224876f1d76c905563db8c63770daca07b%22	https://framerusercontent.com/images/46KpQXZrRGtWAlcakEiHTsYcJc.jpg?scale-down-to=1024	C:/Users/Viju/Documents/finalthinkup/thinkup/framerusercontent.com/images/46KpQXZrRGtWAlcakEiHTsYcJcbf23.jpg	(from https://thinkup.framer.website/)
